"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","1920","FIRST OF JAN","","STATE","IOWA","19","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,747,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","KANSAS","20","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,242,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","KENTUCKY","21","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","520,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","LOUISIANA","22","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","507,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MAINE","23","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","183,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MARYLAND","24","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","172,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","152,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MICHIGAN","26","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","853,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MINNESOTA","27","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,481,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","632,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MISSOURI","29","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,195,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","MONTANA","30","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","545,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NEBRASKA","31","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,267,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NEVADA","32","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","209,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","100,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NEW JERSEY","34","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","133,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NEW MEXICO","35","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","876,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NEW YORK","36","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,509,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","358,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","582,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","OHIO","39","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,025,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","OKLAHOMA","40","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","947,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","OREGON","41","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","418,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","923,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","23,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","238,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","930,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","TENNESSEE","47","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","510,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","TEXAS","48","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","3,780,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","UTAH","49","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","253,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","VERMONT","50","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","294,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","VIRGINIA","51","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","419,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","313,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","253,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,869,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","WYOMING","56","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","355,000",""
